Student_ID,Gender,Age,Study_Hours,Attendance,Math,Science,English,Average_Marks
1,Female,18,4,85,78,82,75,78.33333333333333
2,Male,19,2,70,65,68,60,64.33333333333333
3,Female,18,5,92,88,90,86,88.0
4,Male,20,3,75,70,72,68,70.0
5,Female,18,6,95,92,94,90,92.0
6,Male,19,2,68,60,62,58,60.0
7,Female,18,7,90,85,88,84,85.66666666666667
8,Male,20,4,82,76,79,74,76.33333333333333
9,Female,19,5,88,90,91,88,89.66666666666667
10,Male,18,3,72,68,70,65,67.66666666666667
11,Female,20,6,94,87,89,85,87.0
12,Male,19,2,65,58,61,56,58.333333333333336
13,Female,18,8,98,95,97,94,95.33333333333333
14,Male,20,3,78,72,75,70,72.33333333333333
15,Female,19,5,91,84,86,82,84.0
16,Male,18,4,84,79,81,77,79.0
17,Female,20,7,96,91,93,89,91.0
18,Male,19,2,69,63,65,61,63.0
19,Female,18,6,93,89,92,87,89.33333333333333
20,Male,20,3,76,74,77,72,74.33333333333333
